drinks,veg,non_veg,dessert
,Spring Roll,Chilly Chicken,Chocolate Jar
,Honey Chilly Potato,Chicken Karaage,Red Velvet Jar
,Vegetable Salt & Pepper,Hot Garlic Fish,
,Vegetable Manchurian,Chicken Manchurian,
,Chilly Paneer,Chicken Lollypop,
,Kurkure Momos,Kurkure Chicken Momos,
,Fried Momos,Fried Chicken Momos,
,Pan Fried Momos,Pan Fried Chicken Momos,
,Saucy Momos,Saucy Chicken Momos,
,Steamed Momos,Steamed Chicken Momos,
,"Vegetable Manchurian, Spring Roll Sizzler","Chicken Hot Garlic, Spring Rolls Sizzler",
,"Chilly Paneer, Veg Momos Sizzler","Chicken Manchurian, Chicken Momos Sizzler",
,"Schezwan Vegetables, Spring Roll Sizzler","Chilly Chicken, Spring Roll Sizzler",
,Classic Vegetable Fried Rice,Chop Suey Noodles & Hot Garlic Sauce,
,Chilly Garlic Fried Rice,Chicken Chop Suey Noodles & Hot Garlic Sauce,
,Schezwan Fried Rice,Egg Chop Suey Noodles & Hot Garlic Sauce,
,Veg Noodles,Chilly Garlic Fried Rice,
,Vegetable Hakka Noodles,Singaporean Fried Rice (Paneer),
,Schezwan Vegetable Noodles,Chicken Chilli Garlic Fried Rice,
,Vegetable Chilly Garlic Noodles,Chicken Schezwan Fried Rice,
,Vegetable Singaporean Noodles,Chicken Singaporean Fried Rice,
,Chop Suey Noodles & Hot Garlic Sauce,Egg Fried Rice,
,,Egg Chilly Garlic Fried Rice,
,,Chicken Noodles,
,,Chicken Hakka Noodles,
,,Schezwan Chicken Noodles,
,,Chicken Chilly Garlic Noodles,
,,Chicken Singaporean Noodles,
,,Egg Hakka Noodles,
,,Schezwan Egg Noodles,
