drinks,veg,non_veg,dessert
Cold Coffee,Veggie,Chicken Steak,Brownie
Belgian Chocolate Coffee,Meltdown,Grilled Chicken,
Hazelnut Coffee,Southern State,Chicken Cheeseburger,
Lotus Biscoff Shake,All-Rounder,Spiced Grilled Chicken,
Oreo Crumble Shake,Spicy Veggie,Double Trouble Chicken,
Strawberry Shake,Double Decker Veg,Peri Peri Fried Chicken,
Kit Kat Shake,Butter Paneer,Butter Chicken,
Bombay Banta,Heavy Weight,Chicken Quarter Pounder,
Cranberry Fruit Beer,Cheesy Cheddar Paneer,Tandoori Chicken,
Lemon Green Iced Tea,Ultimate Snacker,Egg & Cheese,
Peach Black Iced Tea,Falafel Wrap,Fried Chicken Wrap,
Pepsi/Pepsi Black,Mexican Salsa Paneer Wrap,Tandoori Chicken Wrap,
,Falafel Sandiwch,Chicken Tikka Sandwich,
,Paneer Tikka Sandwich,Big Snack Sandwich,
,African Peri Peri (Loaded) Fries,Fully Loaded Chicken Fries,
,Portuguese Fries,Chicken Cheeseburger Fries,
,Salted Fries,Chicken Wings,
,Smoky BBQ Fries,Chicken Tenders,
,Cheesy (Loaded) Fries,Chicken Wings Bucket,
,Salted Fries Bucket,Chicken Tenders Bucket,
,Portuguese Fries Bucket,Boneless Wings Bucket,
,Soggy Loaded Fries Bucket,,
,Onion Rings,,
,Smoky Cheese Nads,,
