drinks,veg,non_veg,dessert
,Classic Margherita,Spicy Garlic Chicken,Chocolate
,Rustico,Fire Cracker Chicken,Red Velvet
,Mexican Green,Classic Chicken Pepperoni,
,Farmer Veggies,Chicken Tikka Masala,
,Spicy Bomb,Chicken Lover,
,Paneer Tikka Masala,Peri Peri Chicken,
,Three Cheese Mac & Cheese,Three Cheese Mac & Cheese,
,Penne Arrabiata,Penne Arrabiata,
,Fusilli Alfredo,Fusilli Alfredo,
,Mix Sauce Pasta,Mix Sauce Pasta,
,Spaghetti Aglio Olio,Spaghetti Aglio Olio,
,Delhi Makhni Pasta,Bang Bang Fried Chicken,
,French Fries,Peri Peri Chicken Strips,
,Dirty Fries,Hot & Crispy Chicken Drumsticks,
,Onion Rings,All In One Bucket,
,Cheese & Jalapeno Bombs,Fish & Chips,
,Cheese Garlic Bread,Pasta Combo Non-Veg,
,Pasta Combo Veg,Pizza Combo Non-Veg,
,Pizza Combo Veg,,
