drinks,veg,non_veg,dessert
Watermelon Juice,Classic Caesar Salad,Chicken Caesar Salad,Mix Berries Kiwi & Nuts Smoothie Bowl
Mix Fruit Juice,Protein Packed Salad,Grilled Chicken & Quinoa Salad,Fruits & Nuts Smoothie Bowl
Orange Juice,Bonanza Veggie Salad,High Protein Chicken Salad,Avocado & Berries Smoothie Bowl
Watermelon Beetroot Fusion Juice,Hummus Falafel Yogurt Salad,Chicken Steak Rainbow Salad,Exotic Fruit Custard Jar
ABC Red Nutritional Juice,Paneer Tikka Salad,Grilled Chicken & Avocado Salad,Mix Berry Custard Jar
Tropical Fantasy Juice,Greek Salad with Avocado & Feta Cheese,Grilled Chicken Mexican Salad,Fruits & Nuts Seeds Oatmeal
Rich Vitamin Juice,GreenOx Protein Veg Meal,GreenOx Protein Non veg Meal,Apple Berry Oatmeal Jar
Masala Lemonade,Hummus Falafel Platter,Mexican Chicken Burrito,
Classic Mint Mojito,Nachos Avocado Mexican Salad,Chicken Tikka Burrito,
Watermelon Mint Mojito,Exotic Fruit Salad,Chicken Tikka Burrito Bowl,
Green Apple Mojito,Delight Fruit Salad,Mexican Chicken Burrito Bowl,
Blue Lagoon Mint,Mexican Veg Burrito,Tandoori Chicken Wrap,
Lemon Iced Tea,Peri Peri Paneer Burrito,Grilled Chicken Wrap,
Peach Iced Tea,Mexican Veg Burrito Bowl,Smoked Chicken Wrap,
Classic Cold Coffee,Peri Peri Paneer Burrito Bowl,Chicken Ham & Cheese Sub,
Irish Cold Coffee,Assorted Veggies Wrap,Pesto Chicken Sub,
Hazelnut Cold Coffee,Hummus Falafel Wrap,Grilled Chicken Sub,
Icy Strawberry Shake,Paneer Tikka Wrap,Tandoori Chicken Sub,
Dark Chocolate Shake,Hara Bhara Kebab Wrap,Smoked Chicken Sub,
Chocolate Peanut Butter Banana Shake,Green Farm Sub,Chicken Ham & Cheese Sandwich,
Classic Oreo Shake,Delight Veggies Sub,Grilled Chicken Barbecue Sandwich,
Mix Berry Shake,Cheesy Tikka Sub,Grilled Chicken/ Peri Peri Chicken,
Choco Bronie Shake,Hara Bhara Kebab Sub,Caribbean Chicken Fillets,
Blueberry Shake,Hummus Falafel Sub,Grilled Chicken with Mashed Potatoes,
Berry Banana Smoothie,Cheesy BBQ Paneer Tikka Sub,Chicken Steak with Mashed Potatoes,
Protein Pack Smoothie,The Mexican Paneer Loaded Sub,Grilled Chicken Rice Bowl,
Avocado Green Kingdom Smoothie,Classic Sandwich,Grilled Chicken Rice Bowl,
Kulhad Chai,Corn & Cheese Sandwich,Mexican Chicken Taco,
Adarak Chai,Cheese Aloo Patty Sandwich,Chicken Tikka Taco,
Masala Chai,Paneer Tikka Sandwich,Asian Chicken Soup,
Honey Green Tea,Pesto Grilled Veggies Sandwich,Alfredo Pasta,
Lemon Tea,Soya Paneer Rice Bowl,Arrabiata Pasta,
Black Coffee,Paneer Steak Rice Bowl,Barbaresca Pasta,
Hot Coffee,Mexican Veg Taco,,
Hot Chocolate,Peri Peri Paneer Taco,,
,Tomato Basil Soup,,
,Mix Vegetable Soup,,
,Broccoli Almond Soup,,
,Alfredo Pasta,,
,Arrabiata Pasta,,
,Barbaresca Pasta,,
