drinks,veg,non_veg,dessert
,Vegetable Kakori Kebab,Tandoori Chicken,
,Vegetable Galouti Kebab,Afghani Chicken,
,Tandoori Mushroom Tikka,Peshawari Chapli Kebab,
,Tandoori Paneer Tikka,Reshmi Chicken Seekh,
,Tandoori Soya Chaap,Chicken Kakori Kebab,
,Malai Soya Chaap,Chicken Galouti Kebab,
,Vegetable Kebabs,Tandoori Chicken Tikka,
,Vegetable Galouti,Malai Chicken Tikka,
,Vegetable Biryani,Kooli Mirch Chicken Tikka,
,Rumali Roti,Mutton Kakori Kebab,
,Warqi Parantha,Mutton Galouti Kebab,
,Vegetable Kakori Roll,Mutton Seekh Kebab,
,Paneer Tikka Roll,Peshawari Mutton Chapli Kebab,
,Mushroom Tikka Roll,Mutton Boti Tikka,
,Vegetable Galouti Roll,Non-vegetable Kebabs,
,Tandoori Soya Roll,Chicken Galouti,
,Malai Soya Roll,Mutton Galouti,
,Butter Paneer Roll,Chicken Biryani,
,Paneer Makhni Platter,Chicken Seekh Roll,
,Dal Makhani Platter,Tandoori Chicken Tikka Roll,
,Vegetable Kakori Wrap,Malai Chicken Tikka Roll,
,,Kooli Mirch Chicken Tikka Roll,
,,Chicken Kakori Roll,
,,Chicken Galouti Roll,
,,Mutton Seekh Roll,
,,Mutton Kakori Roll,
,,Mutton Galouti Roll,
,,Mutton Boti Tikka Roll,
,,Butter Chicken,
,,Butter Chicken Platter,
,,Chicken Kakori Wrap,
,,Mutton Kakori Wrap,
